IDRegistroServicio,Fecha,IDPersonal,IDServicio,Cantidad,Precio,Total,Modalidad,MetodoPago,Notas
1,2026-01-01,1,5,1,6.0,6.0,Local,Yape,
2,2026-01-01,1,4,1,36.0,36.0,Local,Efectivo,
3,2026-01-04,1,14,1,23.0,23.0,Local,Efectivo,
4,2026-01-04,1,4,1,44.0,44.0,Local,Efectivo,
5,2026-01-06,1,2,1,35.0,35.0,Local,Yape,
6,2026-01-06,1,10,1,33.0,33.0,Local,Efectivo,
7,2026-01-07,1,4,1,39.0,39.0,Local,Efectivo,
8,2026-01-10,1,16,1,16.0,16.0,Local,Efectivo,
9,2026-01-11,1,12,1,12.0,12.0,Local,Yape,
10,2026-01-11,1,8,1,23.0,23.0,Local,Efectivo,
11,2026-01-11,1,11,1,78.0,78.0,Local,Mixto,
12,2026-01-13,1,6,1,21.0,21.0,Local,Efectivo,
13,2026-01-13,1,2,1,35.0,35.0,Local,Efectivo,
14,2026-01-14,1,11,1,77.0,77.0,Local,Efectivo,
15,2026-01-14,1,15,1,10.0,10.0,Local,Efectivo,
16,2026-01-17,1,15,1,11.0,11.0,Local,Yape,
17,2026-01-19,1,12,1,11.0,11.0,Local,Efectivo,
18,2026-01-19,1,10,1,29.0,29.0,Local,Efectivo,
19,2026-01-19,1,16,1,12.0,12.0,Local,Efectivo,
20,2026-01-20,1,14,1,31.0,31.0,Local,Efectivo,
21,2026-01-21,1,13,1,72.0,72.0,Local,Efectivo,
22,2026-01-21,1,8,1,29.0,29.0,Local,Yape,
23,2026-01-22,1,9,1,6.0,6.0,Local,Efectivo,
24,2026-01-23,1,5,1,7.0,7.0,Local,Yape,
25,2026-01-23,1,2,1,29.0,29.0,Local,Mixto,
26,2026-01-24,1,13,1,59.0,59.0,Local,Yape,
27,2026-01-24,1,2,1,26.0,26.0,Domicilio,Efectivo,
28,2026-01-26,1,2,1,25.0,25.0,Local,Efectivo,
29,2026-01-26,1,12,1,13.0,13.0,Local,Efectivo,
30,2026-01-27,1,5,1,7.0,7.0,Domicilio,Yape,
31,2026-01-27,1,16,1,13.0,13.0,Local,Mixto,
32,2026-01-28,1,16,1,15.0,15.0,Local,Efectivo,
